ticket_id,subject,description,category,priority,sentiment,environment,channel,region,assigned_team,customer_tier,resolution_time_hours,created_at
11,Delayed login,"The customer reported that performance changed after a recent update. The affected environment is production, and multiple teams are affected. the team has a temporary workaround. a limited workflow is delayed. there is no confirmed security impact. A restart was attempted without a clear improvement.",Performance,High,Negative,Production,Web Form,Latin America,Application Support,Standard,12,2025-02-12 04:00:00
12,Documentation request,"documentation is needed for an upcoming implementation. The affected environment is development, and a large user group is affected. a workaround is available but adds manual steps. a limited workflow is delayed. no suspicious activity has been verified. The behavior can be reproduced.",General Inquiry,Low,Neutral,Development,Web Form,Latin America,Technical Support,Standard,58,2024-12-14 09:04:00
13,MFA prompt problem,"The customer reported that authentication works for some users but not others. The affected environment is staging, and several users reported the behavior. normal operations cannot continue through an alternate path. the issue is disrupting part of normal operations. The customer could not confirm whether all locations are affected. The behavior can be reproduced.",Authentication,Critical,Negative,Staging,Chat,North America,MFA Operations,Standard,7,2024-12-16 06:07:00
14,Upgrade path question,"We need help investigating. the team is planning an upgrade and needs sequencing advice. The affected environment is development, and hundreds of users may be impacted. the team has a temporary workaround. the issue does not currently block normal work. the issue is currently considered operational. The behavior can be reproduced.",General Inquiry,Low,Neutral,Development,Phone,Latin America,Customer Success,Standard,151,2026-06-13 23:09:00
15,API connectivity issue,Please review this issue. traffic succeeds internally but fails from another network segment. normal operations cannot continue through an alternate path. an important business process is delayed. The team is still collecting additional details.,Network,High,Negative,Testing,Email,Asia Pacific,Network Operations,Standard,8,2025-10-15 07:56:00
16,Service will not start,"During troubleshooting, we confirmed that the installer reports a permissions-related error. the available workaround does not work consistently. several business activities are affected. there is no confirmed security impact. No recent application change has been confirmed.",Software Installation,High,Negative,Disaster Recovery,Email,Asia Pacific,Application Support,Standard,8,2024-12-07 17:14:00
17,Installation failed,"We need help investigating. the setup fails on one server while succeeding on another. The affected environment is staging, and several users reported the behavior. no reliable workaround has been identified. the issue is currently considered operational. The team is still collecting additional details.",Software Installation,High,Neutral,Staging,Email,Europe,Application Support,Standard,6,2025-05-09 10:52:00
18,Admin console access denied,"The issue appears to be intermittent. the administrator is denied access to one section of the console. The affected environment is testing, and hundreds of users may be impacted. the team has a temporary workaround. the impact is manageable at the moment. the issue is currently considered operational. The behavior can be reproduced.",Account Access,Medium,Negative,Testing,Web Form,Asia Pacific,Access Management,Premium,21,2024-09-27 21:24:00
19,Certificate warning,The issue appears to be intermittent. the certificate is close to expiry or is no longer trusted. no reliable workaround has been identified. the issue causes inconvenience but work can continue. the issue is currently considered operational. The team is still collecting additional details.,Security,Medium,Negative,Development,Email,Latin America,Cybersecurity,Standard,29,2024-02-05 03:42:00
20,high network latency,"Our support team observed that the API host responds to ping but the application request fails. The affected environment is disaster recovery, and a large user group is affected. there is little or no immediate business impact. Initial troubleshooting results are inconclusive. The customer is asking for recommended next steps.",Network,Medium,Negative,Disaster Recovery,Chat,Europe,Network Operations,Premium,54,2024-04-17 02:06:00
21,Installation failed,"During troubleshooting, we confirmed that the app installs but one service remains stopped. The affected environment is production, and multiple teams are affected. a workaround is available but adds manual steps. an important business process is delayed. A restart was attempted without a clear improvement.",Software Installation,High,Negative,Production,Chat,Middle East,Application Support,Standard,11,2024-09-01 12:19:00
22,Rollback during upgrade since yesterday,"The customer reported that the upgrade rolls back during service startup. The affected environment is production, and hundreds of users may be impacted. the available workaround does not work consistently. the issue is disrupting part of normal operations. there is no confirmed security impact. No recent application change has been confirmed.",Software Installation,High,Negative,Production,Email,Latin America,Application Support,Premium,13,2024-05-08 10:36:00
23,High CPU usage,"Please review this issue. login succeeds but takes noticeably longer. The affected environment is development, and one test account is affected. a workaround is available but adds manual steps. an important business process is delayed. The customer is asking for recommended next steps.",Performance,Low,Negative,Development,Web Form,Asia Pacific,Application Support,Premium,31,2024-01-09 05:01:00
24,Unable to verify identity,"the browser returns to the sign-in page after SSO. The affected environment is development, and the issue affects users across the organization. normal operations cannot continue through an alternate path. there is little or no immediate business impact. The team is still collecting additional details.",Authentication,Medium,Very Negative,Development,Email,Middle East,MFA Operations,Standard,14,2025-01-24 21:18:00
25,mfa prompt problem,"The customer reported that the push notification does not arrive consistently. The affected environment is development, and dozens of users are affected. service can continue with reduced functionality. an important business process is delayed. there is no confirmed security impact. No recent application change has been confirmed.",Authentication,Medium,Negative,Development,Chat,Middle East,MFA Operations,Standard,39,2025-10-23 15:12:00
26,Unexpected admin account - follow up,"logs suggest that information may have been exposed. The affected environment is production, and one test account is affected. the team cannot currently bypass the issue. a limited workflow is delayed. the event could require incident response. A restart was attempted without a clear improvement.",Security,Critical,Negative,Production,Phone,North America,Security Operations,Premium,10,2024-04-17 19:14:00
27,Certificate warning since yesterday,"Please review this issue. an administrator account was not recognized by the operations team. The affected environment is production, and a single administrator is affected. users can continue by using an alternate process. a critical business process is unavailable. no suspicious activity has been verified.",Security,Critical,Very Negative,Production,Web Form,Europe,Security Operations,Enterprise,8,2025-06-13 18:01:00
28,Documentation request,"The issue appears to be intermittent. documentation is needed for an upcoming implementation. The affected environment is production, and a large user group is affected. users can continue by using an alternate process. operations are severely disrupted. The team is still collecting additional details.",General Inquiry,High,Negative,Production,API,Europe,Technical Support,Standard,35,2026-07-15 08:33:00
29,possible data exposure,"Our support team observed that logs suggest that information may have been exposed. The affected environment is development, and a single administrator is affected. the team cannot currently bypass the issue. several business activities are affected. the issue may expose sensitive information.",Security,High,Very Negative,Development,Chat,Europe,Cybersecurity,Premium,30,2025-03-09 04:13:00
30,suspicious login activity,"Our support team observed that endpoint security raised an alert on the server. The affected environment is development, and dozens of users are affected. a workaround is available but adds manual steps. there is little or no immediate business impact. the security impact is still being assessed. The team is still collecting additional details.",Security,Low,Neutral,Development,Email,Asia Pacific,Security Operations,Standard,59,2025-10-19 04:55:00
31,Role not applied,"The customer reported that another user with the same role is not affected. The affected environment is production, and a small number of users are affected. the team has a temporary workaround. the impact is manageable at the moment. No recent application change has been confirmed.",Account Access,Medium,Negative,Production,Web Form,Middle East,Application Support,Standard,29,2025-07-16 16:05:00
32,Unexpected admin account after change,"Our support team observed that the account was used outside its typical pattern. The affected environment is production, and a small number of end users are affected. the team cannot currently bypass the issue. a critical business process is unavailable. the behavior may require a security review. The customer could not confirm whether all locations are affected. The behavior can be reproduced.",Security,Critical,Very Negative,Production,Phone,Europe,Security Operations,Standard,7,2025-10-13 16:04:00
33,User cannot access feature,"The issue appears to be intermittent. another user with the same role is not affected. The affected environment is production, and one user is affected. users can continue by using an alternate process. the issue causes inconvenience but work can continue. A restart was attempted without a clear improvement.",Account Access,Medium,Very Negative,Production,Email,Asia Pacific,Application Support,Standard,18,2025-12-03 14:22:00
34,patch deployment issue since yesterday,"Our support team observed that the installer stops before completing all steps. The affected environment is development, and one user is affected. normal operations cannot continue through an alternate path. an important business process is delayed. Logs are available if needed.",Software Installation,Medium,Neutral,Development,API,Middle East,Platform Engineering,Premium,25,2024-11-26 05:49:00
35,Permission missing,"During troubleshooting, we confirmed that the access request was approved but has not propagated. The affected environment is production, and a single administrator is affected. no reliable workaround has been identified. the impact is manageable at the moment. there is no confirmed security impact. The customer could not confirm whether all locations are affected. A restart was attempted without a clear improvement.",Account Access,High,Negative,Production,API,North America,Application Support,Enterprise,13,2025-01-24 21:21:00
36,Installation failed,"During troubleshooting, we confirmed that the installer reports a permissions-related error. The affected environment is development, and a small number of users are affected. service can continue with reduced functionality. the impact is manageable at the moment. Logs are available if needed.",Software Installation,Low,Positive,Development,Web Form,Latin America,Platform Engineering,Standard,70,2026-04-22 18:42:00
37,Intermittent login failure,"We need help investigating. the authentication code is rejected even though it is current. The affected environment is staging, and a small number of users are affected. users can continue by using an alternate process. a critical business process is unavailable. there is no confirmed security impact. Logs are available if needed.",Authentication,High,Very Negative,Staging,Web Form,Europe,MFA Operations,Premium,17,2025-10-30 17:33:00
38,admin console access denied,"During troubleshooting, we confirmed that a recently approved role is not visible in the application. The affected environment is production, and several users reported the behavior. the available workaround does not work consistently. the impact is manageable at the moment. A restart was attempted without a clear improvement.",Account Access,High,Negative,Production,Email,North America,Access Management,Standard,14,2024-03-14 07:59:00
39,Documentation request,"During troubleshooting, we confirmed that the customer wants to confirm support for a particular use case. The affected environment is production, and one test account is affected. the team cannot currently bypass the issue. a critical business process is unavailable. no suspicious activity has been verified. A restart was attempted without a clear improvement.",General Inquiry,High,Negative,Production,Email,Europe,Customer Success,Standard,5,2026-01-19 05:45:00
40,Role not applied,"The customer reported that the new account exists but remains inactive. The affected environment is production, and a large user group is affected. no reliable workaround has been identified. The customer is asking for recommended next steps.",Account Access,Critical,Very Negative,Production,Email,Latin America,Application Support,Standard,2,2026-05-22 06:57:00
41,DNS resolution issue,"The customer reported that the application cannot consistently reach the backend service. The affected environment is disaster recovery, and multiple teams are affected. normal operations cannot continue through an alternate path. the issue causes inconvenience but work can continue. No recent application change has been confirmed.",Network,High,Negative,Disaster Recovery,Email,Middle East,Network Operations,Standard,19,2025-07-06 11:10:00
42,Service host unreachable,"The customer reported that packet loss appears during periods of higher activity. The affected environment is disaster recovery, and several users reported the behavior. the team cannot currently bypass the issue. the impact is manageable at the moment. no suspicious activity has been verified. The customer is asking for recommended next steps.",Network,High,Very Negative,Disaster Recovery,Web Form,Europe,Network Operations,Enterprise,16,2026-01-08 02:38:00
43,DNS resolution issue,"Please review this issue. DNS returns different results from separate servers. The affected environment is development, and one user is affected. a workaround is available but adds manual steps. the issue does not currently block normal work. the security impact is still being assessed. The customer could not confirm whether all locations are affected. A restart was attempted without a clear improvement.",Network,Low,Neutral,Development,Web Form,Asia Pacific,Network Operations,Enterprise,51,2024-10-27 02:42:00
44,privilege change not reflected,"The issue appears to be intermittent. a recently approved role is not visible in the application. The affected environment is disaster recovery, and one test account is affected. users can continue by using an alternate process. the issue is disrupting part of normal operations. No recent application change has been confirmed.",Account Access,Low,Negative,Disaster Recovery,API,Latin America,Application Support,Standard,76,2024-09-09 18:59:00
45,Group membership issue,"The issue appears to be intermittent. the access request was approved but has not propagated. The affected environment is production, and a small number of users are affected. the available workaround does not work consistently. the outage is preventing essential work. The customer is asking for recommended next steps.",Account Access,Critical,Very Negative,Production,Chat,Latin America,Application Support,Premium,6,2025-01-30 23:20:00
46,service host unreachable,"packet loss appears during periods of higher activity. The affected environment is production, and one test account is affected. no reliable workaround has been identified. The behavior can be reproduced.",Network,High,Very Negative,Production,Web Form,North America,Network Operations,Premium,19,2026-01-22 19:11:00
47,Long database queries,"The customer reported that login succeeds but takes noticeably longer. The affected environment is development, and a small number of users are affected. a limited workflow is delayed. A restart was attempted without a clear improvement.",Performance,Low,Neutral,Development,Email,Asia Pacific,Performance Engineering,Standard,40,2026-07-01 01:52:00
48,Group membership issue after change,"Please review this issue. another user with the same role is not affected. The affected environment is staging, and a small number of users are affected. the available workaround does not work consistently. an important business process is delayed.",Account Access,High,Neutral,Staging,API,Asia Pacific,Application Support,Standard,8,2024-02-17 17:24:00
49,Policy compliance concern,"During troubleshooting, we confirmed that the account was used outside its typical pattern. The affected environment is testing, and a small number of users are affected. service can continue with reduced functionality. the issue is disrupting part of normal operations. no suspicious activity has been verified. No recent application change has been confirmed.",Security,Medium,Negative,Testing,Web Form,Europe,Security Operations,Enterprise,21,2025-02-01 02:51:00
50,Unusual account activity since yesterday,"During troubleshooting, we confirmed that several login attempts originated from an unfamiliar address. The affected environment is staging, and hundreds of users may be impacted. the available workaround does not work consistently. the issue does not currently block normal work. the behavior may require a security review. The behavior can be reproduced.",Security,Medium,Very Negative,Staging,Chat,Latin America,Cybersecurity,Enterprise,23,2024-08-31 22:25:00
51,Supported version question,"The customer reported that the customer is looking for guidance before making a change. The affected env is production, and dozens of users are affected. the team has a temporary workaround. the issue is disrupting part of normal operations. no suspicious activity has been verified. The team is still collecting additional details.",General Inquiry,Low,Negative,Production,Chat,Asia Pacific,Technical Support,Enterprise,76,2024-03-04 06:44:00
52,Intermittent login failure,Please review this issue. the account locks after repeated attempts. users can continue by using an alternate process. an important business process is delayed. A restart was attempted without a clear improvement.,Authentication,Medium,Neutral,Testing,Chat,Middle East,Identity Support,Enterprise,41,2026-06-05 11:52:00
53,Account lockout,"The issue appears to be intermittent. the identity provider response is delayed. The affected environment is production, and one test account is affected. the team has a temporary workaround. the issue is disrupting part of normal operations. Logs are available if needed.",Authentication,Low,Negative,Production,Web Form,Asia Pacific,MFA Operations,Standard,205,2025-11-08 15:06:00
54,Malware alert,"The customer reported that several login attempts originated from an unfamiliar address. The affected environment is development, and a small number of users are affected. users can continue by using an alternate process. an important business process is delayed. the issue may expose sensitive information.",Security,High,Very Negative,Development,Phone,Asia Pacific,Cybersecurity,Premium,16,2025-09-17 15:31:00
55,Group membership issue,"Please review this issue. permissions disappeared after a profile update. The affected environment is development, and several users reported the behavior. users can continue by using an alternate process. several business activities are affected. there is no confirmed security impact. The customer is asking for recommended next steps.",Account Access,Low,Neutral,Development,Email,North America,Application Support,Standard,120,2025-12-15 00:47:00
56,Service will not start,"Please review this issue. the patch reports that the current version is unsupported. The affected environment is production, and a large user group is affected. service can continue with reduced functionality. the issue does not currently block normal work. The behavior can be reproduced.",Software Installation,High,Very Negative,Production,Email,North America,Application Support,Premium,10,2026-01-21 12:45:00
57,Certificate warning - follow up,"During troubleshooting, we confirmed that a scanner reported a finding that requires review. The affected environment is development, and multiple teams are affected. service can continue with reduced functionality. the issue does not currently block normal work. the security impact is still being assessed. No recent application change has been confirmed.",Security,Low,Negative,Development,Email,Middle East,Security Operations,Premium,40,2025-08-18 08:49:00
58,Training material request,"best-practice recommendations are requested. The affected environment is disaster recovery, and one test account is affected. the available workaround does not work consistently. the issue causes inconvenience but work can continue. there is no confirmed security impact. No recent application change has been confirmed.",General Inquiry,Low,Negative,Disaster Recovery,Web Form,Europe,Customer Success,Standard,118,2025-12-03 15:14:00
59,Rollback during upgrade,"The customer reported that the setup fails on one server while succeeding on another. The affected environment is testing, and one test account is affected. the available workaround does not work consistently. a limited workflow is delayed. security monitoring indicates elevated risk.",Software Installation,High,Very Negative,Testing,Web Form,Asia Pacific,Application Support,Enterprise,11,2025-07-02 12:14:00
60,Rollback during upgrade,"The issue appears to be intermittent. the installer stops before completing all steps. The affected environment is staging, and several users reported the behavior. the team has a temporary workaround. there is little or no immediate business impact. No recent application change has been confirmed.",Software Installation,Low,Negative,Staging,Chat,Latin America,Platform Engineering,Enterprise,82,2024-05-06 22:44:00
61,rollback during upgrade,"The issue appears to be intermittent. the upgrade rolls back during service startup. The affected environment is staging, and hundreds of users may be impacted. the team cannot currently bypass the issue. the impact is manageable at the moment. The behavior can be reproduced.",Software Installation,Critical,Negative,Staging,Web Form,Europe,Application Support,Standard,5,2025-04-21 12:14:00
62,Configuration guidance,"documentation is needed for an upcoming implementation. The affected environment is staging, and one user is affected. normal operations cannot continue through an alternate path. a limited workflow is delayed. the issue is currently considered operational. No recent application change has been confirmed.",General Inquiry,Low,Neutral,Staging,Email,Middle East,Technical Support,Enterprise,78,2026-02-05 23:06:00
63,Slow application response,"The issue appears to be intermittent. the application pauses when concurrent usage increases. The affected environment is disaster recovery, and a small number of users are affected. normal operations cannot continue through an alternate path. operations are severely disrupted. The behavior can be reproduced.",Performance,Critical,Negative,Disaster Recovery,API,Asia Pacific,Performance Engineering,Standard,4,2025-03-09 12:10:00
64,dns resolution issue,"users experience short disconnects during active sessions. The affected environment is production, and dozens of users are affected. users can continue by using an alternate process. there is little or no immediate business impact. The customer is asking for recommended next steps.",Network,Medium,Neutral,Production,Phone,Latin America,Network Operations,Premium,13,2025-10-14 21:04:00
65,access request pending,"a recently approved role is not visible in the application. The affected environment is production, and a single administrator is affected. the team has a temporary workaround. the issue is disrupting part of normal operations. there is no confirmed security impact. A restart was attempted without a clear improvement.",Account Access,Medium,Negative,Production,Email,Latin America,Access Management,Enterprise,41,2025-03-28 02:52:00
66,Performance degraded,"The customer reported that report generation is slower than expected. The affected environment is development, and a large user group is affected. users can continue by using an alternate process. a limited workflow is delayed. the security impact is still being assessed. The behavior can be reproduced.",Performance,Low,Neutral,Development,Web Form,Asia Pacific,Application Support,Standard,103,2025-06-17 11:08:00
67,High CPU usage,"During troubleshooting, we confirmed that several database queries exceed their normal duration. The affected environment is testing, and a small number of users are affected. service can continue with reduced functionality. a limited workflow is delayed. The issue was seen before but resolved without a confirmed cause. No recent application change has been confirmed.",Performance,Medium,Neutral,Testing,Chat,Europe,Application Support,Premium,32,2025-02-05 15:27:00
68,Intermittent connectivity,"the API host responds to ping but the application request fails. The affected environment is staging, and hundreds of users may be impacted. the team has a temporary workaround. an important business process is delayed. the issue is currently considered operational. Logs are available if needed.",Network,High,Neutral,Staging,Phone,North America,Infrastructure Support,Premium,16,2024-12-02 02:11:00
69,Admin console access denied,"Our support team observed that a recently approved role is not visible in the application. The affected environment is production, and one test account is affected. users can continue by using an alternate process. operations are severely disrupted. The team is still collecting additional details.",Account Access,High,Negative,Production,Web Form,Asia Pacific,Application Support,Enterprise,14,2024-07-14 15:55:00
70,Memory usage increasing,"performance changed after a recent update. The affected environment is production, and hundreds of users may be impacted. users can continue by using an alternate process. several business activities are affected. no suspicious activity has been verified. The behavior can be reproduced.",Performance,High,Very Negative,Production,Chat,Middle East,Performance Engineering,Standard,13,2026-01-16 23:27:00
71,User cannot access feature,"We need help investigating. a recently approved role is not visible in the application. The affected environment is testing, and a single administrator is affected. the team has a temporary workaround. the issue is disrupting part of normal operations. The team is still collecting additional details.",Account Access,Low,Positive,Testing,Phone,Latin America,Application Support,Enterprise,33,2025-11-06 22:35:00
72,unexpected admin account,"The issue appears to be intermittent. logs suggest that information may have been exposed. The affected environment is development, and a single administrator is affected. no reliable workaround has been identified. the impact is manageable at the moment. security monitoring indicates elevated risk. A restart was attempted without a clear improvement.",Security,High,Negative,Development,Chat,Europe,Security Operations,Premium,9,2026-06-20 10:45:00
73,User cannot access feature - follow up,"The customer reported that a recently approved role is not visible in the application. The affected environment is testing, and a small number of users are affected. normal operations cannot continue through an alternate path. the impact is manageable at the moment. the issue is currently considered operational. A restart was attempted without a clear improvement.",Account Access,High,Neutral,Testing,Web Form,Latin America,Application Support,Standard,34,2024-09-18 12:53:00
74,New account inactive,"Our support team observed that the new account exists but remains inactive. The affected environment is development, and several users reported the behavior. a workaround is available but adds manual steps. the issue causes inconvenience but work can continue. security monitoring indicates elevated risk. The team is still collecting additional details.",Account Access,Medium,Negative,Development,Phone,Latin America,Access Management,Premium,36,2026-01-17 08:02:00
75,Configuration guidance,"Our support team observed that new administrators need training resources. The affected environment is development, and several users reported the behavior. the issue causes inconvenience but work can continue. A restart was attempted without a clear improvement.",General Inquiry,Low,Neutral,Development,Phone,North America,Customer Success,Premium,28,2024-09-27 19:10:00
76,Configuration guidance,"We need help investigating. new administrators need training resources. The affected environment is staging, and one test account is affected. the team has a temporary workaround. The issue was seen before but resolved without a confirmed cause. Logs are available if needed.",General Inquiry,Low,Neutral,Staging,Email,North America,Customer Success,Standard,36,2025-06-22 03:37:00
77,Performance degraded,"We need help investigating. several database queries exceed their normal duration. The affected environment is production, and a small number of users are affected. a workaround is available but adds manual steps. operations are severely disrupted. security monitoring indicates elevated risk. The team is still collecting additional details.",Performance,Critical,Very Negative,Production,Email,Europe,Application Support,Standard,8,2026-04-21 05:32:00
78,DNS resolution issue,"We need help investigating. DNS returns different results from separate servers. The affected env is production, and hundreds of users may be impacted. the team cannot currently bypass the issue. there is little or no immediate business impact. the issue is currently considered operational. The customer could not confirm whether all locations are affected. The behavior can be reproduced.",Network,Critical,Very Negative,Production,Email,Europe,Network Operations,Enterprise,7,2026-02-21 03:42:00
79,Packet loss reported,"the API host responds to ping but the application request fails. The affected environment is production, and a small number of users are affected. users can continue by using an alternate process. the impact is manageable at the moment. The behavior can be reproduced.",Network,High,Neutral,Production,API,North America,Network Operations,Premium,12,2025-11-20 12:51:00
80,Memory usage increasing,"During troubleshooting, we confirmed that performance changed after a recent update. The affected environment is production, and one test account is affected. normal operations cannot continue through an alternate path. a limited workflow is delayed. the issue is currently considered operational.",Performance,High,Neutral,Production,Phone,Asia Pacific,Application Support,Premium,19,2026-05-11 08:54:00
81,Admin console access denied,"Please review this issue. a recently approved role is not visible in the application. The affected environment is testing, and hundreds of users may be impacted. a workaround is available but adds manual steps. several business activities are affected. the issue is currently considered operational. Logs are available if needed.",Account Access,Medium,Very Negative,Testing,Email,North America,Application Support,Enterprise,39,2024-04-10 10:28:00
82,Upgrade path question,"We need help investigating. the team wants to confirm which versions are supported. The affected environment is production, and one user is affected. the available workaround does not work consistently. the request is mainly for planning purposes. No recent application change has been confirmed.",General Inquiry,Low,Negative,Production,Web Form,Asia Pacific,Customer Success,Enterprise,82,2025-03-04 15:27:00
83,Connection timeout,"connections to the required port time out. The affected environment is testing, and most users are affected. the team cannot currently bypass the issue. an important business process is delayed. The customer is asking for recommended next steps.",Network,Critical,Negative,Testing,API,Middle East,Network Operations,Enterprise,3,2024-03-22 11:08:00
84,Account lockout,"The customer reported that the user receives an invalid credentials message. The affected environment is testing, and several users reported the behavior. the team has a temporary workaround. there is little or no immediate business impact. the issue is currently considered operational. The customer is asking for recommended next steps.",Authentication,Low,Neutral,Testing,Email,Latin America,Identity Support,Premium,89,2025-10-25 20:16:00
85,Dependency missing,"During troubleshooting, we confirmed that the setup fails on one server while succeeding on another. The affected environment is testing, and a single administrator is affected. the team has a temporary workaround. a critical business process is unavailable. there is a possible compliance concern. The behavior can be reproduced.",Software Installation,Low,Negative,Testing,Email,North America,Application Support,Enterprise,70,2025-08-11 07:47:00
86,Service becomes unresponsive,"The customer reported that normal requests take much longer than they did previously. The affected environment is production, and dozens of users are affected. users can continue by using an alternate process. the issue is disrupting part of normal operations. The team is still collecting additional details.",Performance,Medium,Very Negative,Production,Email,North America,Performance Engineering,Enterprise,30,2024-07-25 03:11:00
87,Connection timeout,"The issue appears to be intermittent. DNS returns different results from separate servers. The affected environment is development, and one user is affected. users can continue by using an alternate process. the issue causes inconvenience but work can continue. there is a possible compliance concern. No recent application change has been confirmed.",Network,Low,Negative,Development,Phone,Latin America,Network Operations,Standard,44,2024-04-13 15:49:00
88,Service host unreachable after change,"The customer reported that packet loss appears during periods of higher activity. The affected environment is production, and hundreds of users may be impacted. service can continue with reduced functionality. several business activities are affected. the issue is currently considered operational. The team is still collecting additional details.",Network,Critical,Negative,Production,Web Form,Europe,Network Operations,Premium,10,2024-10-10 04:55:00
89,Product capability question,"Please review this issue. documentation is needed for an upcoming implementation. The affected environment is testing, and a large user group is affected. users can continue by using an alternate process. the impact is manageable at the moment. no suspicious activity has been verified. The behavior can be reproduced.",General Inquiry,Low,Neutral,Testing,Web Form,Europe,Technical Support,Enterprise,156,2025-04-09 01:42:00
90,Policy compliance concern,"Please review this issue. an administrator account was not recognized by the operations team. The affected environment is development, and one user is affected. service can continue with reduced functionality. several business activities are affected. there is a possible compliance concern.",Security,Medium,Very Negative,Development,Web Form,Europe,Cybersecurity,Premium,21,2025-03-18 23:23:00
91,Privilege change not reflected,"The issue appears to be intermittent. a recently approved role is not visible in the application. The affected environment is staging, and several users reported the behavior. service can continue with reduced functionality. a limited workflow is delayed. Initial troubleshooting results are inconclusive. The team is still collecting additional details.",Account Access,Medium,Neutral,Staging,Email,Latin America,Application Support,Enterprise,24,2025-04-21 14:00:00
92,Malware alert,"The customer reported that several login attempts originated from an unfamiliar address. The affected environment is production, and a small number of users are affected. users can continue by using an alternate process. the issue does not currently block normal work. the issue may expose sensitive information.",Security,High,Very Negative,Production,Phone,North America,Security Operations,Enterprise,12,2025-10-23 15:48:00
93,High CPU usage,"During troubleshooting, we confirmed that normal requests take much longer than they did previously. The affected environment is prod, and one test account is affected. normal operations cannot continue through an alternate path. a critical business process is unavailable. Initial troubleshooting results are inconclusive. A restart was attempted without a clear improvement.",Performance,Critical,Negative,Production,Web Form,Europe,Application Support,Standard,7,2025-10-02 13:21:00
94,Permission missing,"The customer reported that the access request was approved but has not propagated. The affected environment is development, and a single administrator is affected. no reliable workaround has been identified. the request is mainly for planning purposes. there is no confirmed security impact. The behavior can be reproduced.",Account Access,Low,Negative,Development,Phone,North America,Access Management,Standard,28,2025-02-20 18:27:00
95,Unable to verify identity,"the account locks after repeated attempts. The affected environment is testing, and one user is affected. the team cannot currently bypass the issue. the request is mainly for planning purposes. The team is still collecting additional details.",Authentication,Low,Neutral,Testing,Chat,Asia Pacific,Identity Support,Standard,101,2026-06-29 20:03:00
